Parameter,Mean,Median,StdDev,SEM,Bin 0,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15
Ch 1 Period,28.812500000000004,28.150000000000002,5.000359362085889,1.2500898405214722,25.700000000000003,41.800000000000004,30.3,30.400000000000002,21.1,21.700000000000003,32.7,34.7,31.3,23.8,27.700000000000003,26.900000000000002,25.400000000000002,27.400000000000002,28.6,31.5
Ch 1 Peak Amp,12637.252700077737,11984.38344988349,3269.914067410157,817.4785168525392,10297.556526806555,7233.579953379976,16527.456099456147,15364.193473193514,13449.428904428947,10813.947552447587,16091.222222222268,16107.74514374519,10126.30710955714,8649.096503496532,13682.52525252529,9890.254079254108,10824.878787878828,13143.88811188815,10505.405594405624,19488.557886557945
Ch 1 Peak Rel Amp,3.3597202051023505,2.230015909959899,3.2456082181578085,0.8114020545394521,1.7938362169080564,1.0473131399011597,5.183692408321463,4.8763910638497245,2.339123095141476,2.4127699078799427,4.868012872045846,3.388466411213191,1.4159094449898377,1.0484662200851378,2.787585221282477,1.7678571354167756,1.880642550195126,2.120908724778322,1.9260398625492212,14.898509007079852
Ch 1 Peak Width,8.218195077819086,8.470274146854237,1.1828534110991633,0.2957133527747908,7.776720158986762,7.07200012378884,9.099921239108047,8.566576708980374,9.16940959499214,9.933655069733485,8.555004102931383,6.989163234147687,7.365350454814731,5.6016470254589406,8.57493281171483,8.089957575462737,8.385544190777091,6.869672495814806,10.183273318526282,9.258293139867241
Ch 1 Peak Max,17755.817128010927,17896.51757964263,2001.5093701837507,500.37734254593767,16038.078671328714,14140.377622377662,19715.811965812023,18514.923853923905,19199.20279720285,15295.911421911464,19396.723387723443,20861.442890442948,17278.111305361355,16898.381351981403,18590.904428904483,15484.741258741302,16580.825757575803,19341.178904428954,15959.812742812786,20796.64568764575
Ch 1 Peak Min,5118.56442793319,5524.447163947179,1692.1746611977971,423.0436652994493,5740.5221445221605,6906.797668997686,3188.3558663558747,3150.73038073039,5749.773892773905,4481.963869463876,3305.501165501175,4753.69774669776,7151.804195804216,8249.284848484871,4908.379176379191,5594.487179487194,5755.946969696975,6197.2907925408035,5454.407148407164,1308.0878010878052
Ch 1 Peak Offset,0.3092339251394337,0.32688685731975137,0.4412907240917488,0.1103226810229372,-0.40028027063920035,0.6051524364866321,0.9797935749932208,0.5813461235751788,0.22204748013759856,-0.2760403492038563,0.6275722524627128,0.43172623450190417,-0.49086458986150777,0.17036250397589897,-0.004870251707615125,0.7818456948553717,0.09861668175504833,0.545154356391356,0.9554635348960119,0.12071738961218444
