RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_v2_000026,3.4,1.1,0.002,0.01,500,30,95,1,15,50,11132.24789,22.26449578,23.22978306,8.859620829,0,42.01034546,250.5,262.6627468,258.5,120.0718963,0.06583719052,2.085962779
run_v2_000027,3.4,1.1,0.002,0.01,500,30,100,1,15,50,9448.415887,18.89683177,19.80898571,7.510514649,0,36.90386581,219.5,266.6365913,263.5,120.1420669,0.04056408647,2.061508867
run_v2_000028,3.4,1.1,0.0025,0.01,500,30,60,1,15,50,75347.02925,150.6940585,140.3299637,85.91089443,3.658766747,303.3028564,113.5,193.6091316,173.5,113.3154459,0.6315642061,2.650361429
run_v2_000029,3.4,1.1,0.0025,0.01,500,30,65,1,15,50,46730.58929,93.46117857,92.18522644,47.55239014,1.90881753,195.5704498,119.5,210.236506,192.5,115.5622318,0.5037150639,2.433673837
run_v2_000030,3.4,1.1,0.0025,0.01,500,30,70,1,15,50,32329.19237,64.65838473,65.63914871,30.06519752,0.9440634251,123.0109787,156.5,222.1527483,207.5,116.8784299,0.4002727099,2.308671596
run_v2_000031,3.4,1.1,0.0025,0.01,500,30,75,1,15,50,23797.84398,47.59568796,48.54359818,20.77970843,0.7665938139,88.97924042,150.5,230.6721484,217.5,118.2241044,0.3365270531,2.230538296
run_v2_000032,3.4,1.1,0.0025,0.01,500,30,80,1,15,50,18209.42044,36.41884087,37.44026375,15.66556577,0,74.3374176,127.5,238.1743892,226.5,118.1021173,0.2786383313,2.192306704
run_v2_000033,3.4,1.1,0.0025,0.01,500,30,85,1,15,50,14489.30169,28.97860339,29.79605198,11.79391155,0,52.92307281,208.5,245.4886957,235.5,119.7698658,0.2203312368,2.127220529
run_v2_000034,3.4,1.1,0.0025,0.01,500,30,90,1,15,50,11759.28997,23.51857994,24.65293789,9.654677129,0,47.8426857,173.5,250.0952634,242.5,118.7396151,0.1739942188,2.135087739
run_v2_000035,3.4,1.1,0.0025,0.01,500,30,95,1,15,50,9689.117284,19.37823457,19.957201,8.049211009,0,38.86222076,159.5,255.7488705,249.5,118.5914528,0.1407101281,2.104053147
run_v2_000036,3.4,1.1,0.0025,0.01,500,30,100,1,15,50,8256.831905,16.51366381,17.473176,6.756136131,0,33.49517822,245.5,260.1514418,254.5,119.4708707,0.1024751396,2.066738067
run_v2_000037,3.4,1.1,0.003,0.01,500,30,60,1,15,50,68128.92051,136.257841,129.9743729,82.51655559,3.819223642,303.7909851,124.5,187.3797929,166.5,111.1149835,0.6760424433,2.758358762
run_v2_000038,3.4,1.1,0.003,0.01,500,30,65,1,15,50,41915.5863,83.83117259,80.18846893,44.83111584,1.902214527,172.0769348,141.5,203.3795892,185.5,114.2016088,0.5501148281,2.529573167
run_v2_000039,3.4,1.1,0.003,0.01,500,30,70,1,15,50,28945.93354,57.89186708,56.99586296,28.815301,0,116.6499481,141.5,214.6942879,199.5,115.374728,0.4585128121,2.398720375
