x_bin_position,x_bin
0.5,1.70011735
1.5,5.503412247
2.5,10.82650375
3.5,8.897162437
4.5,3.649917126
5.5,12.59047985
6.5,13.47572803
7.5,24.05562973
8.5,22.33465576
9.5,18.82123566
10.5,39.10580444
11.5,36.52729797
12.5,46.24879074
13.5,38.44537354
14.5,48.40454102
15.5,43.70883942
16.5,44.55531693
17.5,50.58279419
18.5,63.58597946
19.5,73.42572021
20.5,82.74868011
21.5,73.71986389
22.5,72.65711212
23.5,85.87534332
24.5,83.02245331
25.5,94.58402252
26.5,92.74758911
27.5,90.52881622
28.5,112.0120239
29.5,104.0619354
30.5,108.0634003
31.5,105.1064606
32.5,136.5637054
33.5,129.9729919
34.5,127.0463715
35.5,145.6147766
36.5,120.9386749
37.5,128.3983002
38.5,126.1179276
39.5,131.8542175
40.5,130.6819458
41.5,141.8652496
42.5,165.0794373
43.5,156.5022278
44.5,140.5249634
45.5,157.479538
46.5,162.7188263
47.5,176.2914276
48.5,158.0115662
49.5,157.8759766
50.5,186.0812683
51.5,172.2231293
52.5,178.7888184
53.5,189.2514648
54.5,164.425766
55.5,157.1712646
56.5,197.1111755
57.5,177.4831543
58.5,179.5842285
59.5,208.2076263
60.5,185.0121307
61.5,196.4128876
62.5,188.95784
63.5,211.4507904
64.5,200.8012238
65.5,182.7850952
66.5,179.5767822
67.5,223.7892609
68.5,217.5948792
69.5,211.8546448
70.5,202.7792358
71.5,196.6722717
72.5,210.9321899
73.5,209.0659943
74.5,208.9298401
75.5,193.865799
76.5,216.8574371
77.5,224.0344391
78.5,214.0248718
79.5,214.6366425
80.5,225.1109467
81.5,213.4566193
82.5,204.747818
83.5,220.6010895
84.5,217.6268311
85.5,221.5077667
86.5,227.7139587
87.5,193.1998749
88.5,224.3900146
89.5,200.8964386
90.5,210.1123962
91.5,199.6322021
92.5,223.2764893
93.5,207.5288696
94.5,227.4987488
95.5,212.3022766
96.5,205.7915955
97.5,231.9169159
98.5,211.2376556
99.5,194.5086823
