x_bin_position,x_bin
0.5,9.377429962
1.5,20.64048386
2.5,21.75277901
3.5,13.20411873
4.5,36.76716614
5.5,46.30062485
6.5,34.83076096
7.5,51.00406647
8.5,62.31174469
9.5,70.96537781
10.5,65.7566452
11.5,79.14665985
12.5,82.92497253
13.5,93.94076538
14.5,110.9072342
15.5,108.098175
16.5,113.2603378
17.5,133.9249725
18.5,133.5814667
19.5,143.8054352
20.5,132.2060852
21.5,175.1309357
22.5,150.8577728
23.5,171.0402374
24.5,187.4033661
25.5,202.6261444
26.5,197.1467285
27.5,201.1637421
28.5,221.4322052
29.5,242.1760101
30.5,241.5905914
31.5,234.7288361
32.5,239.9641724
33.5,244.2839966
34.5,289.1679077
35.5,244.4795532
36.5,309.4020386
37.5,311.7065125
38.5,325.6535339
39.5,315.9620972
40.5,317.3544006
41.5,332.0086975
42.5,367.7128296
43.5,335.3793335
44.5,327.6307983
45.5,351.4507141
46.5,374.7404785
47.5,350.8591614
48.5,368.0688171
49.5,397.5819397
50.5,377.6003418
51.5,364.3087158
52.5,411.5206299
53.5,384.3752441
54.5,381.6708069
55.5,399.669281
56.5,447.3945618
57.5,403.4241333
58.5,434.2082825
59.5,410.5105286
60.5,415.8853149
61.5,432.4982605
62.5,440.4864807
63.5,432.0929565
64.5,441.1671143
65.5,441.7639771
66.5,458.871582
67.5,473.2550964
68.5,430.5859985
69.5,467.2760315
70.5,412.8599854
71.5,466.4483337
72.5,436.0325623
73.5,442.5147705
74.5,472.3381042
75.5,452.0141602
76.5,466.2771301
77.5,474.6771851
78.5,463.6555481
79.5,434.2976074
80.5,473.5292053
81.5,444.1065063
82.5,431.0662842
83.5,419.232605
84.5,426.6548157
85.5,466.5464172
86.5,393.3276672
87.5,452.7002258
88.5,457.6199341
89.5,399.5455933
90.5,420.1672363
91.5,427.9829102
92.5,480.2014771
93.5,443.0536194
94.5,451.9921875
95.5,399.6315002
96.5,424.3996887
97.5,377.9492493
98.5,394.3238831
99.5,398.1658936
