x_bin_position,x_bin
0.5,19.26842117
1.5,19.05633545
2.5,23.5714283
3.5,35.05040741
4.5,37.53498077
5.5,56.65639114
6.5,50.7345314
7.5,60.39590073
8.5,79.79394531
9.5,81.92173004
10.5,96.53443146
11.5,105.426178
12.5,122.5156708
13.5,147.9941101
14.5,144.4746857
15.5,163.5331726
16.5,182.7331543
17.5,182.6969299
18.5,206.9070282
19.5,214.5822754
20.5,195.7026978
21.5,239.5045166
22.5,256.9995117
23.5,242.9326935
24.5,246.9186096
25.5,307.5965881
26.5,306.8650513
27.5,306.1590881
28.5,315.1849976
29.5,302.2729492
30.5,347.7429199
31.5,352.1733093
32.5,354.2247009
33.5,398.769928
34.5,389.5372925
35.5,402.7667847
36.5,410.1696167
37.5,388.2433167
38.5,435.7194824
39.5,443.2070007
40.5,440.6148376
41.5,430.6236572
42.5,442.7062988
43.5,441.8178711
44.5,464.679657
45.5,472.9509583
46.5,480.477417
47.5,482.3301697
48.5,489.3110352
49.5,500.0960388
50.5,491.9750977
51.5,560.1318359
52.5,484.8770752
53.5,519.4645386
54.5,515.0853271
55.5,525.5737915
56.5,534.3413086
57.5,543.0561523
58.5,514.8834229
59.5,534.5714722
60.5,531.8929443
61.5,544.1195679
62.5,509.6565552
63.5,526.4435425
64.5,493.6437073
65.5,511.8811035
66.5,544.3890381
67.5,530.9500122
68.5,543.8496094
69.5,543.0543213
70.5,540.8712158
71.5,522.2084351
72.5,534.0550537
73.5,519.085083
74.5,508.6309509
75.5,568.4354858
76.5,528.4194336
77.5,542.6151733
78.5,523.7548828
79.5,529.7998657
80.5,536.1459961
81.5,494.3267822
82.5,499.1542053
83.5,515.6118164
84.5,499.6569519
85.5,477.4134521
86.5,490.2044067
87.5,494.6215515
88.5,501.7795105
89.5,493.7701721
90.5,485.8844604
91.5,480.4784546
92.5,491.3750305
93.5,473.9109192
94.5,450.0801086
95.5,466.854248
96.5,469.4242859
97.5,443.2803345
98.5,419.2530518
99.5,429.548645
