x_bin_position,x_bin
0.5,2.627829075
1.5,6.449974537
2.5,9.026638031
3.5,11.006217
4.5,11.07715511
5.5,10.96668625
6.5,13.04165077
7.5,22.85191727
8.5,13.04599857
9.5,21.11367226
10.5,21.23884773
11.5,21.14702225
12.5,15.78576279
13.5,23.04580116
14.5,23.12711906
15.5,25.00443268
16.5,27.72937202
17.5,27.59405518
18.5,36.73646927
19.5,24.84815216
20.5,30.20355034
21.5,44.89812851
22.5,38.57291031
23.5,61.5821228
24.5,38.70809555
25.5,60.11732483
26.5,58.58425903
27.5,49.98067093
28.5,55.83958435
29.5,45.66438675
30.5,50.12413788
31.5,63.5885849
32.5,57.40904236
33.5,62.78755188
34.5,46.11323166
35.5,69.05821991
36.5,70.82517242
37.5,64.25309753
38.5,70.42800903
39.5,74.21329498
40.5,66.93424225
41.5,85.52597809
42.5,67.54152679
43.5,93.55378723
44.5,81.05457306
45.5,85.05612183
46.5,80.66175079
47.5,86.06915283
48.5,100.3930511
49.5,108.2458267
50.5,97.41223907
51.5,126.0397263
52.5,112.2316818
53.5,112.078476
54.5,122.769989
55.5,105.5938644
56.5,112.7336349
57.5,122.4807892
58.5,105.0294113
59.5,106.1102524
60.5,103.9844208
61.5,115.7365265
62.5,110.2097549
63.5,123.1745071
64.5,129.2477264
65.5,127.3254547
66.5,139.074585
67.5,139.877243
68.5,145.1340179
69.5,122.4047852
70.5,140.6790619
71.5,142.0714569
72.5,118.6034012
73.5,139.177536
74.5,146.6569519
75.5,137.1317596
76.5,141.8567963
77.5,165.3952484
78.5,166.4993591
79.5,161.1103516
80.5,140.3581696
81.5,164.3854065
82.5,148.5477448
83.5,150.0453796
84.5,132.9051514
85.5,148.9311523
86.5,163.5113831
87.5,148.6195679
88.5,159.2611694
89.5,144.7159424
90.5,157.2393646
91.5,136.7792511
92.5,162.2889404
93.5,155.2025604
94.5,152.1935425
95.5,152.9739838
96.5,152.8064575
97.5,135.8427734
98.5,155.7086945
99.5,155.5730286
