x_bin_position,x_bin
0.5,6.376741886
1.5,13.15288925
2.5,12.77925968
3.5,17.1002655
4.5,15.46914291
5.5,15.41598034
6.5,19.17360497
7.5,24.71003532
8.5,18.04756927
9.5,35.4383049
10.5,24.4867878
11.5,31.94775963
12.5,38.12894058
13.5,48.98352051
14.5,34.32737732
15.5,39.19721603
16.5,53.39593124
17.5,48.72403336
18.5,55.99884415
19.5,60.23680878
20.5,48.52463913
21.5,59.59075928
22.5,68.70269775
23.5,62.43486786
24.5,53.8563385
25.5,63.60899734
26.5,73.60106659
27.5,74.3991394
28.5,85.98698425
29.5,79.94864655
30.5,66.69548035
31.5,89.10170746
32.5,98.9352951
33.5,103.4058762
34.5,104.0925293
35.5,105.6587143
36.5,96.26249695
37.5,117.7632599
38.5,97.88114929
39.5,105.7693024
40.5,126.6203766
41.5,119.5897598
42.5,132.6041412
43.5,119.2669296
44.5,113.9850998
45.5,123.1423721
46.5,131.0396271
47.5,140.2005157
48.5,143.1094513
49.5,138.2657318
50.5,135.1300507
51.5,146.2420502
52.5,165.3399811
53.5,150.9110718
54.5,147.4080811
55.5,160.0019379
56.5,175.2341309
57.5,166.7905579
58.5,160.3896484
59.5,173.0219421
60.5,168.0341034
61.5,159.7599792
62.5,179.921524
63.5,152.1949921
64.5,165.6211548
65.5,188.147049
66.5,186.8396759
67.5,180.4939423
68.5,208.2339783
69.5,175.873764
70.5,194.1425781
71.5,175.1289978
72.5,192.5953674
73.5,195.595047
74.5,175.785965
75.5,178.9642792
76.5,207.2355652
77.5,199.9887543
78.5,198.3706207
79.5,177.6482391
80.5,192.2604218
81.5,203.7805786
82.5,195.8982544
83.5,207.9894562
84.5,189.3432617
85.5,207.6114655
86.5,171.4205322
87.5,190.7781525
88.5,218.0417175
89.5,200.4962769
90.5,207.2107697
91.5,165.68013
92.5,210.8637085
93.5,211.2501221
94.5,196.3862762
95.5,194.2819061
96.5,189.5892639
97.5,185.1616821
98.5,197.706192
99.5,194.1354675
