x_bin_position,x_bin
0.5,2.480513573
1.5,0.7714413404
2.5,3.193729877
3.5,2.231350899
4.5,4.689353943
5.5,4.903403282
6.5,8.187937737
7.5,5.652523041
8.5,9.611785889
9.5,6.524731159
10.5,8.028060913
11.5,5.605911732
12.5,8.797912598
13.5,16.84678459
14.5,12.3563261
15.5,9.479373932
16.5,14.27759457
17.5,15.36050129
18.5,9.85761261
19.5,11.7195549
20.5,21.08433723
21.5,17.03322029
22.5,12.71627522
23.5,19.4064579
24.5,24.5325489
25.5,28.44070625
26.5,20.82010651
27.5,29.92348099
28.5,27.10092545
29.5,25.77892494
30.5,26.65318298
31.5,35.59069443
32.5,37.95832062
33.5,31.6470623
34.5,34.26709747
35.5,36.7260704
36.5,35.05480194
37.5,34.00252533
38.5,29.09778595
39.5,43.60078049
40.5,28.78887367
41.5,32.25598526
42.5,37.49780273
43.5,37.32503891
44.5,40.32328415
45.5,32.84799957
46.5,34.7552948
47.5,45.74180984
48.5,49.16976166
49.5,51.88000488
50.5,46.26395416
51.5,38.73748398
52.5,49.66749191
53.5,42.45295334
54.5,40.66556549
55.5,47.09705734
56.5,43.27308655
57.5,65.04430389
58.5,45.68161774
59.5,51.47689056
60.5,55.67041397
61.5,49.09732437
62.5,62.34307861
63.5,44.46309662
64.5,66.74897003
65.5,55.82510757
66.5,68.2691803
67.5,62.2369194
68.5,60.54855347
69.5,59.73096848
70.5,50.2438736
71.5,50.42061615
72.5,50.99609756
73.5,55.08171844
74.5,59.74281311
75.5,61.94004822
76.5,64.39572144
77.5,72.65146637
78.5,63.84543991
79.5,72.26691437
80.5,67.94992828
81.5,66.86218262
82.5,67.86178589
83.5,65.20894623
84.5,62.92947769
85.5,71.14360809
86.5,73.55107117
87.5,67.94294739
88.5,61.97374725
89.5,69.9016571
90.5,63.25589371
91.5,74.27535248
92.5,75.76618958
93.5,63.39259338
94.5,70.70690918
95.5,80.5233078
96.5,69.79234314
97.5,69.06632996
98.5,87.84899902
99.5,72.72582245
