x_bin_position,x_bin
0.5,0.8495755792
1.5,9.102409363
2.5,6.634390831
3.5,3.696133137
4.5,7.880596638
5.5,9.261325836
6.5,4.921813011
7.5,8.947980881
8.5,7.320826054
9.5,12.91164303
10.5,13.49290943
11.5,12.97089386
12.5,12.89048862
13.5,8.931822777
14.5,13.73642063
15.5,15.0179081
16.5,10.84980392
17.5,13.00270844
18.5,23.58795357
19.5,17.72648239
20.5,23.20989609
21.5,19.25153542
22.5,20.77185249
23.5,22.67427254
24.5,24.21331024
25.5,21.66835976
26.5,30.21993637
27.5,24.2148037
28.5,28.39626503
29.5,35.82283783
30.5,32.45923996
31.5,30.04689217
32.5,31.54341125
33.5,22.08020592
34.5,24.26147842
35.5,36.34128189
36.5,35.95947647
37.5,39.68751907
38.5,35.81774139
39.5,39.57759476
40.5,37.37386322
41.5,36.69048691
42.5,40.79982758
43.5,34.38640976
44.5,48.265728
45.5,48.13353729
46.5,44.46857834
47.5,45.55092239
48.5,47.2998085
49.5,47.86627197
50.5,34.20119095
51.5,40.32941437
52.5,47.05369949
53.5,41.86961365
54.5,59.24525833
55.5,44.19596863
56.5,51.38911057
57.5,58.69113541
58.5,48.07839584
59.5,57.69626617
60.5,59.09749985
61.5,60.53547287
62.5,66.09033203
63.5,59.94508743
64.5,71.74836731
65.5,54.44031906
66.5,49.27534485
67.5,60.80102158
68.5,63.75355911
69.5,63.85967636
70.5,67.49809265
71.5,69.50954437
72.5,59.11037827
73.5,72.4858017
74.5,70.86152649
75.5,63.17550278
76.5,82.15010071
77.5,71.80550385
78.5,82.85839081
79.5,81.85468292
80.5,87.60456085
81.5,66.28887177
82.5,73.40044403
83.5,76.4311142
84.5,74.57029724
85.5,62.08253479
86.5,70.00382996
87.5,70.89654541
88.5,76.42115784
89.5,72.22121429
90.5,62.96835709
91.5,79.11846924
92.5,81.33397675
93.5,85.70029449
94.5,76.62670135
95.5,76.789505
96.5,77.6946106
97.5,74.48085022
98.5,70.18008423
99.5,84.12995911
