x_bin_position,x_bin
0.5,14.2264986
1.5,21.37856293
2.5,14.30226898
3.5,20.67694855
4.5,22.79671288
5.5,25.15489769
6.5,30.52735329
7.5,23.50896072
8.5,32.36392975
9.5,39.79672241
10.5,35.92874146
11.5,42.61240005
12.5,41.76471329
13.5,34.19029236
14.5,57.10832977
15.5,44.18434525
16.5,63.97766495
17.5,44.30944061
18.5,59.5112648
19.5,56.77997589
20.5,56.78770828
21.5,74.66518402
22.5,79.89566803
23.5,81.99786377
24.5,95.27185059
25.5,103.4883881
26.5,94.25275421
27.5,87.86069489
28.5,92.82484436
29.5,110.840332
30.5,99.24215698
31.5,110.3161774
32.5,132.6862183
33.5,117.7217255
34.5,99.17164612
35.5,135.3353729
36.5,120.5730591
37.5,132.6857452
38.5,136.9580078
39.5,131.3782196
40.5,152.5692596
41.5,146.9202728
42.5,167.882431
43.5,163.041748
44.5,166.4663544
45.5,158.1813965
46.5,143.915863
47.5,172.3768768
48.5,156.6507568
49.5,175.3886414
50.5,190.0584717
51.5,176.8708954
52.5,171.0195312
53.5,180.6016235
54.5,201.7036896
55.5,160.9541779
56.5,202.5189819
57.5,191.6503448
58.5,218.1431122
59.5,178.2337494
60.5,232.1709137
61.5,220.7106781
62.5,193.2705383
63.5,203.0289001
64.5,187.4256897
65.5,212.5739136
66.5,208.1434326
67.5,235.2315369
68.5,228.1843262
69.5,236.5062256
70.5,232.0388947
71.5,227.0701904
72.5,209.8203583
73.5,223.4621277
74.5,236.9806366
75.5,251.6987
76.5,233.3591003
77.5,204.1053619
78.5,237.518158
79.5,233.0205383
80.5,237.9459229
81.5,255.3365784
82.5,219.5512848
83.5,199.5948639
84.5,231.1461334
85.5,236.2721558
86.5,245.8087921
87.5,250.969986
88.5,261.3473511
89.5,243.3144073
90.5,215.7157745
91.5,233.1938324
92.5,205.2008514
93.5,237.053772
94.5,205.3412476
95.5,231.2855225
96.5,218.8997192
97.5,228.107666
98.5,224.0757751
99.5,229.8744354
