x_bin_position,x_bin
0.5,8.073935509
1.5,5.961328506
2.5,5.320898056
3.5,3.652095079
4.5,12.60309982
5.5,16.22086334
6.5,19.72703743
7.5,13.43720341
8.5,26.99319458
9.5,25.21894073
10.5,34.95771027
11.5,30.43380928
12.5,35.5803299
13.5,28.40989113
14.5,43.88842773
15.5,39.79650116
16.5,41.26213074
17.5,56.3680687
18.5,48.85097504
19.5,47.19994736
20.5,65.1118927
21.5,65.9109726
22.5,55.35646057
23.5,78.15471649
24.5,68.16633606
25.5,75.73703003
26.5,70.56581116
27.5,76.72202301
28.5,73.31848907
29.5,85.73653412
30.5,98.84967041
31.5,107.8873062
32.5,96.6548233
33.5,86.9763031
34.5,120.7308578
35.5,116.0691757
36.5,114.3786469
37.5,125.3542175
38.5,124.8928909
39.5,123.3407593
40.5,130.1750183
41.5,142.8302765
42.5,153.0930328
43.5,155.3060913
44.5,132.3764038
45.5,147.3904419
46.5,135.638092
47.5,147.87146
48.5,157.4688873
49.5,142.6736603
50.5,161.6577148
51.5,140.285202
52.5,148.9532471
53.5,154.6119995
54.5,160.6260681
55.5,157.2297058
56.5,173.8281708
57.5,166.0735474
58.5,164.1963654
59.5,144.826355
60.5,185.7392273
61.5,171.9128265
62.5,175.2306824
63.5,180.251358
64.5,186.6427612
65.5,159.9176331
66.5,181.4955292
67.5,196.981369
68.5,190.6248169
69.5,187.4439392
70.5,214.5645447
71.5,192.0410309
72.5,188.9073792
73.5,196.2461548
74.5,200.7128448
75.5,195.1875
76.5,194.3507843
77.5,215.885376
78.5,212.3388214
79.5,208.2116394
80.5,207.9062195
81.5,206.4209747
82.5,213.6177521
83.5,213.5924072
84.5,196.2250824
85.5,196.4818573
86.5,217.3761902
87.5,197.3905029
88.5,195.3282623
89.5,229.4845581
90.5,211.2801056
91.5,208.0088501
92.5,213.940033
93.5,218.5514832
94.5,210.4387054
95.5,216.9863281
96.5,207.2619019
97.5,185.9097748
98.5,216.824295
99.5,190.164444
