x_bin_position,x_bin
0.5,9.568329811
1.5,11.51664543
2.5,16.28285027
3.5,18.08146095
4.5,13.22224808
5.5,14.35680866
6.5,16.07172966
7.5,19.97948265
8.5,22.82110023
9.5,18.13880348
10.5,23.86123466
11.5,19.90526962
12.5,35.12091064
13.5,33.23604965
14.5,29.44170189
15.5,31.39764595
16.5,48.38644409
17.5,46.62233734
18.5,47.43148041
19.5,51.33847046
20.5,47.526474
21.5,54.87250137
22.5,53.11959076
23.5,58.79724503
24.5,59.77554703
25.5,58.82527924
26.5,64.47164917
27.5,73.86313629
28.5,73.74677277
29.5,75.65235138
30.5,87.74372101
31.5,79.24597168
32.5,97.17903137
33.5,75.36380768
34.5,77.1180191
35.5,82.95430756
36.5,96.97206116
37.5,107.3211288
38.5,105.2625122
39.5,100.5085144
40.5,94.82720184
41.5,116.3760605
42.5,124.8246994
43.5,117.9916687
44.5,122.8565369
45.5,142.9402618
46.5,132.5517578
47.5,131.6999207
48.5,117.5900192
49.5,137.141861
50.5,132.38591
51.5,132.2599487
52.5,136.8145447
53.5,136.6639557
54.5,149.4620056
55.5,172.6707764
56.5,185.5591278
57.5,165.8777618
58.5,171.1646576
59.5,165.6118011
60.5,166.4903717
61.5,164.4516144
62.5,162.4812927
63.5,172.5388947
64.5,187.6558533
65.5,177.5023193
66.5,166.454361
67.5,176.4263
68.5,152.3939514
69.5,175.8701935
70.5,191.4287872
71.5,188.6628265
72.5,168.4145355
73.5,145.3558197
74.5,185.4064789
75.5,197.2086945
76.5,202.4828033
77.5,195.0995789
78.5,190.1593628
79.5,192.9502106
80.5,190.7780151
81.5,184.2444
82.5,213.0278778
83.5,199.4463196
84.5,193.6498413
85.5,198.2448883
86.5,220.3826294
87.5,202.185379
88.5,202.164032
89.5,204.5287628
90.5,212.4800873
91.5,210.5758209
92.5,231.9489899
93.5,217.3777924
94.5,209.9264832
95.5,205.3425598
96.5,187.3271637
97.5,193.1192932
98.5,210.1751251
99.5,212.6246948
