x_bin_position,x_bin
0.5,13.19669914
1.5,12.4645977
2.5,17.39595985
3.5,21.71250153
4.5,18.34316826
5.5,18.28999138
6.5,24.74683762
7.5,29.62125969
8.5,30.75149536
9.5,35.10568237
10.5,29.21633911
11.5,34.7395134
12.5,43.33000183
13.5,40.95698166
14.5,42.78736877
15.5,38.39151382
16.5,46.19001389
17.5,54.86539841
18.5,49.66834259
19.5,58.91828156
20.5,55.05080795
21.5,60.35734177
22.5,75.03736115
23.5,76.01776123
24.5,68.46353149
25.5,77.30338287
26.5,70.31713867
27.5,90.85592651
28.5,92.08062744
29.5,85.9253006
30.5,82.37995148
31.5,83.25309753
32.5,106.5081863
33.5,98.75091553
34.5,119.6023026
35.5,103.4507675
36.5,105.807663
37.5,101.0731201
38.5,116.9264526
39.5,99.71642303
40.5,125.3058319
41.5,127.6303635
42.5,112.2904968
43.5,111.2039337
44.5,125.7709045
45.5,130.5168152
46.5,134.8144531
47.5,143.5997162
48.5,152.1016235
49.5,157.700592
50.5,136.2881165
51.5,144.0100861
52.5,153.38591
53.5,133.9409332
54.5,140.3782501
55.5,156.9288483
56.5,154.1454926
57.5,146.827713
58.5,161.3987274
59.5,153.9066925
60.5,155.1769104
61.5,163.2926025
62.5,163.8974304
63.5,160.553772
64.5,161.4717102
65.5,170.0433807
66.5,175.5694885
67.5,168.7810059
68.5,173.5265656
69.5,178.4244843
70.5,158.5652466
71.5,193.8682098
72.5,182.3745117
73.5,171.9315491
74.5,180.297226
75.5,161.8281708
76.5,175.324173
77.5,165.7978973
78.5,180.200943
79.5,176.8918152
80.5,183.8172302
81.5,152.5892181
82.5,161.0061493
83.5,188.0748138
84.5,182.6923981
85.5,178.3040619
86.5,168.2505798
87.5,161.9464874
88.5,176.054657
89.5,179.3917389
90.5,154.0071564
91.5,160.9341888
92.5,177.410965
93.5,169.3970642
94.5,170.3843384
95.5,158.3200531
96.5,175.0405579
97.5,141.811203
98.5,174.9951935
99.5,162.9889679
