x_bin_position,x_bin
0.5,18.0581665
1.5,17.71133232
2.5,33.12532043
3.5,45.31016541
4.5,61.65803146
5.5,72.30288696
6.5,70.69553375
7.5,87.42092133
8.5,98.51370239
9.5,94.42366791
10.5,131.9880219
11.5,155.1583252
12.5,167.4693146
13.5,197.8323822
14.5,189.2001953
15.5,212.9775391
16.5,213.6255493
17.5,255.4122467
18.5,272.6668396
19.5,270.6434631
20.5,302.1809692
21.5,289.2095947
22.5,319.3302612
23.5,363.0118713
24.5,353.8618774
25.5,377.0291138
26.5,414.7373657
27.5,382.1837769
28.5,416.5693054
29.5,433.9791565
30.5,454.9666748
31.5,488.8761292
32.5,474.1209412
33.5,477.5930176
34.5,510.0546265
35.5,452.6139832
36.5,504.6816711
37.5,546.1487427
38.5,500.6013184
39.5,549.8963623
40.5,537.9165649
41.5,535.621521
42.5,556.6959839
43.5,585.9500122
44.5,573.7334595
45.5,584.6743164
46.5,578.8548584
47.5,617.2565308
48.5,586.2001343
49.5,599.6954956
50.5,622.68927
51.5,586.4500732
52.5,610.5714111
53.5,607.8409424
54.5,644.1063232
55.5,665.21521
56.5,625.7637329
57.5,617.6760254
58.5,616.0251465
59.5,607.1881714
60.5,612.6837158
61.5,671.4366455
62.5,630.3712158
63.5,629.1524658
64.5,645.0585938
65.5,617.6548462
66.5,605.1256104
67.5,622.1400146
68.5,576.515625
69.5,578.9701538
70.5,627.1146851
71.5,557.6025391
72.5,595.553894
73.5,588.4885254
74.5,580.7412109
75.5,577.4371338
76.5,587.1358032
77.5,562.3560181
78.5,583.2658691
79.5,575.6473389
80.5,514.6890259
81.5,550.1386719
82.5,548.3239136
83.5,556.7365112
84.5,553.675354
85.5,524.3223267
86.5,522.8859863
87.5,530.6374512
88.5,484.1324768
89.5,507.0150452
90.5,509.394928
91.5,471.0648804
92.5,490.1983643
93.5,477.2734985
94.5,487.5264282
95.5,459.0987244
96.5,433.2649231
97.5,456.1646118
98.5,433.1293335
99.5,465.3395386
