x_bin_position,x_bin
0.5,11.35103226
1.5,10.46759319
2.5,12.37295628
3.5,15.1317997
4.5,13.31363106
5.5,23.78328896
6.5,24.74513054
7.5,36.10114288
8.5,30.26036453
9.5,32.26823807
10.5,46.55716705
11.5,35.26776505
12.5,35.23674011
13.5,48.66155243
14.5,51.38066483
15.5,50.54779434
16.5,37.10757828
17.5,51.30341339
18.5,55.2431488
19.5,55.15706635
20.5,74.86243439
21.5,84.39413452
22.5,73.79794312
23.5,80.55973816
24.5,92.90202332
25.5,81.57516479
26.5,82.31806946
27.5,89.83090973
28.5,87.8471756
29.5,92.58674622
30.5,102.1716614
31.5,115.9977875
32.5,108.3134689
33.5,110.3719406
34.5,115.0887985
35.5,113.8435287
36.5,127.8000412
37.5,132.487915
38.5,139.9049683
39.5,128.5722656
40.5,141.6871338
41.5,129.3998413
42.5,149.9453278
43.5,151.6567078
44.5,170.4113159
45.5,155.1798553
46.5,172.7877045
47.5,166.2428894
48.5,162.1378021
49.5,190.2391357
50.5,172.1618347
51.5,164.9635773
52.5,183.849884
53.5,184.7017822
54.5,180.9925995
55.5,176.0520477
56.5,199.2462921
57.5,187.1777954
58.5,195.3645325
59.5,215.6347961
60.5,209.7630768
61.5,192.0065155
62.5,204.0737457
63.5,223.1868744
64.5,182.3098297
65.5,215.5533905
66.5,211.4714813
67.5,230.4339752
68.5,215.8715363
69.5,199.9643402
70.5,225.2259674
71.5,222.449707
72.5,224.2726288
73.5,253.1422424
74.5,226.3218384
75.5,231.8389587
76.5,248.746109
77.5,251.4393768
78.5,238.6608429
79.5,225.6006317
80.5,239.9508209
81.5,229.704361
82.5,261.1259766
83.5,213.7402344
84.5,216.3398743
85.5,210.8291321
86.5,238.4821777
87.5,232.8808594
88.5,250.7250061
89.5,251.494751
90.5,273.8918762
91.5,214.9249115
92.5,257.0748901
93.5,253.3107605
94.5,235.9905243
95.5,249.2479401
96.5,234.7270203
97.5,238.9360352
98.5,248.512085
99.5,225.0053253
