Parameter,Mean,Median,StdDev,SEM,Bin 0,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15
Ch 1 Period,2.25,2.1500000000000004,1.2549900398011133,0.31374750995027834,3.9000000000000004,3.8000000000000003,2.4000000000000004,1.1,0.7000000000000001,2.1,2.9000000000000004,3.4000000000000004,1.8,2.2,4.3,0.6000000000000001,0.7000000000000001,1.8,0.6000000000000001,3.7
Ch 1 Peak Amp,904.5473929731584,900.9332803864581,53.778816256734885,13.444704064183721,966.4366933879173,889.2685055685142,896.6069983656234,986.0575928136896,856.0262885262891,938.7547842401509,847.9217910294901,970.9705213485686,876.9715303423181,933.1411393484595,961.0608650608665,821.9776616366071,832.1924014682736,955.7002719502743,905.2595624072928,834.4116800761985
Ch 1 Peak Rel Amp,0.0279769830798266,0.02785561715776761,0.0016856351840345179,0.00042140879600862947,0.02994192704483538,0.027504785283645434,0.027724030328782803,0.03056277570840162,0.026468147964461793,0.029051228130252953,0.02619961236417294,0.03004868602564184,0.027137138844683377,0.028860442990656827,0.029719310371511928,0.02538113082704781,0.0257127323971354,0.02955916923376344,0.02798720398675242,0.025773407775479658
Ch 1 Peak Width,0.5912109445681579,0.5761040737823476,0.05237368901757378,0.013093422254393444,0.573048086688501,0.5641368970939041,0.5544339083242321,0.7182523702718551,0.5303354344822677,0.5774379219142957,0.5960147981731596,0.6276452762619609,0.5543597123946716,0.6950510351771859,0.6181861997355172,0.5306511802044603,0.5747702256503996,0.6095324388413282,0.5981342364306823,0.5373853914461055
Ch 1 Peak Max,33237.955239497656,33240.25430062425,33.216888832166504,8.304222208041626,33243.47390414473,33220.679072779174,33237.03469710376,33249.40965944634,33197.7787101788,33252.5275456252,33211.82776198171,33284.214452214546,33193.25716979659,33266.01765307873,33298.98704998714,33207.36140350887,33197.185301288846,33287.47064047073,33250.74011972885,33209.31869062846
Ch 1 Peak Min,32333.407846524497,32335.40134932827,31.43863583354727,7.8596589583868175,32277.037210756815,32331.41056721066,32340.427698738134,32263.35206663265,32341.75242165251,32313.772761385047,32363.90597095222,32313.243930865978,32316.285639454272,32332.87651373027,32337.926184926273,32385.38374187226,32364.992899820572,32331.770368520458,32345.480557321556,32374.907010552262
Ch 1 Peak Offset,0.0027518710317358426,0.00023052675489296,0.00819158838187139,0.0020478970954678475,0.00520120972924498,0.0005046411523639589,-0.003225193402124486,0.016492480115518952,0.006851048765670712,-0.0014729684929593527,-0.006224967215403874,0.016423635839813874,-0.011491393160965395,0.012264958869771745,0.002448155667456865,-0.0017108658560392295,0.014351182464189089,-0.0009278593421405059,-4.358764257803889e-05,-0.005410540984045813
