x_bin_position,x_bin
0.5,7.458675385
1.5,10.97012138
2.5,17.67624664
3.5,23.10859108
4.5,29.63484573
5.5,27.96406174
6.5,27.77062416
7.5,26.11164474
8.5,38.00735092
9.5,46.44800949
10.5,38.82243729
11.5,33.07519531
12.5,35.21813965
13.5,45.2547493
14.5,56.84103012
15.5,55.40277863
16.5,45.42351532
17.5,53.09455872
18.5,68.40680695
19.5,71.22493744
20.5,67.52629089
21.5,69.55421448
22.5,80.45830536
23.5,88.47911072
24.5,84.60897827
25.5,96.03663635
26.5,101.2266693
27.5,112.2135086
28.5,92.98934174
29.5,98.3012085
30.5,120.9846497
31.5,121.2452621
32.5,121.7056503
33.5,122.5555878
34.5,137.4576874
35.5,127.1255951
36.5,133.3511505
37.5,103.9977417
38.5,151.1450653
39.5,136.8309479
40.5,154.7076569
41.5,164.6936493
42.5,163.2836761
43.5,157.6399841
44.5,143.1161652
45.5,155.2425995
46.5,167.858429
47.5,169.5998688
48.5,177.5198517
49.5,181.7038574
50.5,197.0281219
51.5,181.252594
52.5,181.0412598
53.5,214.8945465
54.5,201.7190247
55.5,218.774353
56.5,203.2934418
57.5,227.9779205
58.5,216.9609528
59.5,216.7834015
60.5,209.5136108
61.5,204.9124298
62.5,221.5828247
63.5,242.4453888
64.5,218.1930237
65.5,197.6168671
66.5,215.1709137
67.5,225.8179016
68.5,235.2667236
69.5,216.7805634
70.5,241.5006714
71.5,248.8586884
72.5,217.6094513
73.5,229.0795441
74.5,252.1481323
75.5,239.4741669
76.5,271.1395264
77.5,247.5192261
78.5,254.1928101
79.5,268.4211121
80.5,241.2375793
81.5,243.0079956
82.5,255.1495972
83.5,238.6140442
84.5,241.282135
85.5,229.5797577
86.5,237.8282623
87.5,239.8086243
88.5,255.9866028
89.5,238.2668152
90.5,214.8872223
91.5,261.9295654
92.5,247.4716034
93.5,249.9574585
94.5,252.2069397
95.5,216.3736115
96.5,251.2115784
97.5,238.3601685
98.5,252.2442474
99.5,244.4825287
100.5,235.4598846
101.5,247.1157074
102.5,221.0488892
103.5,236.4989319
104.5,216.1514435
105.5,229.0461578
106.5,228.1400146
107.5,246.0767059
108.5,209.9105988
109.5,229.2033539
110.5,217.7026825
111.5,239.6494293
112.5,202.9165955
113.5,220.1283875
114.5,192.5548096
115.5,194.6017914
116.5,223.1387787
117.5,204.6541595
118.5,211.4600525
