x_bin_position,x_bin
0.5,5.725904465
1.5,2.281916142
2.5,5.784557343
3.5,5.784035683
4.5,8.695113182
5.5,7.333403587
6.5,10.87915707
7.5,10.80430889
8.5,9.505728722
9.5,9.709588051
10.5,8.577694893
11.5,7.373037815
12.5,16.66197586
13.5,14.6282568
14.5,11.2765255
15.5,25.21354294
16.5,24.03981972
17.5,25.51301003
18.5,23.5546093
19.5,24.08905029
20.5,18.46398926
21.5,23.04994202
22.5,32.82367325
23.5,27.38159943
24.5,32.5723877
25.5,22.79694748
26.5,31.2582283
27.5,24.35165596
28.5,27.50196648
29.5,31.63846207
30.5,37.56951523
31.5,29.75976753
32.5,45.30170441
33.5,39.0249939
34.5,28.19372749
35.5,31.83538246
36.5,45.92515182
37.5,40.52802277
38.5,40.64726639
39.5,46.23963928
40.5,57.84141159
41.5,38.115345
42.5,53.34599304
43.5,63.14506912
44.5,55.51462555
45.5,48.54056168
46.5,46.43828201
47.5,65.83017731
48.5,54.99938965
49.5,60.79898834
50.5,67.26631165
51.5,48.37862778
52.5,46.68952179
53.5,60.30370712
54.5,58.06438446
55.5,69.19300842
56.5,56.76459885
57.5,74.44061279
58.5,73.1087265
59.5,70.64829254
60.5,66.0894165
61.5,63.96151733
62.5,69.82678986
63.5,67.18339539
64.5,79.94110107
65.5,92.00924683
66.5,80.96295929
67.5,63.86223602
68.5,80.18832397
69.5,85.00663757
70.5,67.30554199
71.5,75.33944702
72.5,72.48021698
73.5,83.24150085
74.5,82.40274811
75.5,78.11161804
76.5,65.44202423
77.5,86.13260651
78.5,87.254776
79.5,92.795578
80.5,100.719368
81.5,82.41231537
82.5,91.53157806
83.5,93.09465027
84.5,90.23269653
85.5,86.76166534
86.5,91.54261017
87.5,93.93637085
88.5,108.5488968
89.5,84.07575989
90.5,91.54243469
91.5,94.46057892
92.5,84.76132965
93.5,92.61404419
94.5,77.98600769
95.5,89.85152435
96.5,93.78147888
97.5,79.22113037
98.5,107.5233612
99.5,87.9851532
100.5,93.77349091
101.5,102.5743332
102.5,92.5903244
103.5,81.19422913
104.5,89.40613556
105.5,92.15142822
106.5,88.3684082
107.5,93.95172882
108.5,100.205452
109.5,89.00247192
110.5,103.7088165
111.5,90.63780975
112.5,90.97509003
113.5,88.79450226
114.5,91.11543274
115.5,93.24906921
116.5,86.19982147
117.5,90.17375946
118.5,90.98519135
119.5,98.83187866
120.5,95.72991943
121.5,90.33346558
122.5,97.52277374
123.5,84.60951996
124.5,97.85824585
125.5,88.81739044
126.5,74.31038666
127.5,89.55958557
128.5,82.59240723
129.5,96.89433289
130.5,89.57479095
131.5,89.7311554
132.5,83.09883881
133.5,84.6131897
134.5,78.27907562
135.5,88.93878937
136.5,84.43231964
137.5,83.72757721
138.5,93.78865814
139.5,93.30105591
140.5,87.67840576
141.5,91.20780182
142.5,78.7419281
143.5,88.63811493
144.5,93.97982025
145.5,94.393013
146.5,84.84541321
147.5,80.90218353
148.5,79.84896851
149.5,81.21673584
150.5,82.82797241
151.5,81.081604
152.5,98.43384552
153.5,79.80407715
154.5,81.74010468
155.5,82.04870605
156.5,83.36910248
157.5,74.96517944
158.5,80.70215607
159.5,69.6938324
160.5,74.72586823
161.5,78.59656525
162.5,83.87787628
163.5,73.88552094
164.5,70.66804504
165.5,81.46793365
166.5,64.37429047
167.5,82.2731781
168.5,73.77802277
169.5,77.40007019
170.5,74.25209808
171.5,73.75831604
172.5,78.97661591
173.5,74.78105927
174.5,69.08700562
175.5,57.1170578
176.5,76.14180756
177.5,61.03274155
178.5,67.52438354
179.5,68.98269653
180.5,63.47884369
181.5,65.27778625
182.5,66.20490265
183.5,65.42649841
184.5,73.81800079
185.5,56.9645462
186.5,66.56276703
187.5,56.50236511
188.5,55.68425751
189.5,63.14096832
190.5,50.49292755
191.5,52.56158447
192.5,57.141819
193.5,58.85388947
194.5,59.2472496
195.5,43.49041367
196.5,62.63681412
197.5,61.05896378
198.5,55.1516037
199.5,55.24994278
