RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_000027,3.4,1.1,0.002,0.01,100,30,100,1,15,50,807.0688693,8.070688693,7.997839212,5.540114391,0,21.46595192,87.5,67.51756362,72.5,23.18564416,-0.6182395835,2.498484045
run_000028,3.4,1.1,0.0025,0.01,100,30,60,1,15,50,17762.48422,177.6248422,203.8952942,87.07205613,2.873346567,303.1062012,97.5,63.59373415,66.5,23.78083315,-0.3873495095,2.18080867
run_000029,3.4,1.1,0.0025,0.01,100,30,65,1,15,50,8868.153106,88.68153106,97.66262817,49.20256239,0.9592157602,176.1723328,97.5,65.55842631,69.5,23.34814934,-0.4748724212,2.301456147
run_000030,3.4,1.1,0.0025,0.01,100,30,70,1,15,50,5237.386839,52.37386839,55.85700607,29.96602901,1.881915092,108.3656921,96.5,66.02427208,69.5,23.15149233,-0.5015372444,2.361280727
run_000031,3.4,1.1,0.0025,0.01,100,30,75,1,15,50,3326.515658,33.26515658,34.46206284,20.04023396,0,69.80722046,97.5,66.72648765,70.5,22.94074625,-0.5380018474,2.428803528
run_000032,3.4,1.1,0.0025,0.01,100,30,80,1,15,50,2356.897025,23.56897025,24.16323853,14.97173684,0,55.73391342,92.5,67.17151784,70.5,22.66024274,-0.5663256564,2.47531302
run_000033,3.4,1.1,0.0025,0.01,100,30,85,1,15,50,1700.40233,17.0040233,16.40216637,10.96023119,0,37.84616089,98.5,67.46049786,71.5,22.68503571,-0.6170669583,2.530476565
run_000034,3.4,1.1,0.0025,0.01,100,30,90,1,15,50,1226.324767,12.26324767,12.57261944,7.705386824,0,30.91374016,98.5,66.55840183,69.5,23.23228018,-0.5776097455,2.557552871
run_000035,3.4,1.1,0.0025,0.01,100,30,95,1,15,50,1017.6948,10.176948,9.537927628,7.139224047,0,25.32468224,98.5,68.36312316,72.5,22.27266698,-0.6942771156,2.760211979
run_000036,3.4,1.1,0.0025,0.01,100,30,100,1,15,50,762.8755151,7.628755151,7.045736074,5.349361476,0,19.93223381,97.5,68.51767336,72.5,23.0567838,-0.6831626932,2.674766772
run_000037,3.4,1.1,0.003,0.01,100,30,60,1,15,50,17332.64263,173.3264263,200.5312653,83.30998503,0.9031093121,282.187439,92.5,63.15237579,65.5,23.77618682,-0.3748887918,2.197663645
